fold,layer,C,val_accuracy,val_macro_f1
2,4,1.0,0.55,0.4232323232323232
2,4,10.0,0.55,0.4232323232323232
2,5,0.01,0.5,0.40444444444444444
2,5,0.1,0.5,0.4105050505050505
2,5,1.0,0.5,0.4105050505050505
2,5,10.0,0.5,0.4105050505050505
2,6,0.01,0.3,0.2393162393162393
2,6,0.1,0.2,0.15714285714285714
2,6,1.0,0.2,0.15714285714285714
2,6,10.0,0.2,0.15714285714285714
2,7,0.01,0.2,0.1676190476190476
2,7,0.1,0.2,0.1676190476190476
2,7,1.0,0.2,0.1676190476190476
2,7,10.0,0.2,0.1676190476190476
2,8,0.01,0.3,0.2393162393162393
2,8,0.1,0.3,0.2393162393162393
2,8,1.0,0.25,0.20714285714285713
2,8,10.0,0.3,0.2393162393162393
2,9,0.01,0.15,0.06666666666666667
2,9,0.1,0.1,0.047058823529411764
2,9,1.0,0.1,0.047058823529411764
2,9,10.0,0.1,0.047058823529411764
2,10,0.01,0.25,0.18928571428571428
2,10,0.1,0.2,0.13725490196078433
2,10,1.0,0.2,0.13725490196078433
2,10,10.0,0.15,0.11666666666666665
2,11,0.01,0.3,0.22999999999999998
2,11,0.1,0.25,0.18
2,11,1.0,0.25,0.18571428571428572
2,11,10.0,0.25,0.19230769230769232
2,12,0.01,0.2,0.16
2,12,0.1,0.1,0.1
2,12,1.0,0.1,0.1
2,12,10.0,0.15,0.13333333333333333
3,0,0.01,0.0,0.0
3,0,0.1,0.0,0.0
3,0,1.0,0.0,0.0
3,0,10.0,0.0,0.0
3,1,0.01,0.0,0.0
3,1,0.1,0.0,0.0
3,1,1.0,0.0,0.0
3,1,10.0,0.0,0.0
3,2,0.01,0.0,0.0
3,2,0.1,0.0,0.0
3,2,1.0,0.0,0.0
3,2,10.0,0.0,0.0
3,3,0.01,0.05,0.04444444444444444
3,3,0.1,0.05,0.04444444444444444
3,3,1.0,0.05,0.04444444444444444
3,3,10.0,0.05,0.04444444444444444
3,4,0.01,0.0,0.0
3,4,0.1,0.0,0.0
3,4,1.0,0.05,0.08
3,4,10.0,0.1,0.13333333333333333
3,5,0.01,0.05,0.02857142857142857
3,5,0.1,0.1,0.11076923076923077
3,5,1.0,0.15,0.16666666666666666
3,5,10.0,0.2,0.20779220779220778
3,6,0.01,0.2,0.2
3,6,0.1,0.2,0.2
3,6,1.0,0.2,0.2
3,6,10.0,0.2,0.2
3,7,0.01,0.25,0.2577777777777778
3,7,0.1,0.2,0.2
3,7,1.0,0.2,0.2
3,7,10.0,0.2,0.17777777777777776
3,8,0.01,0.25,0.27999999999999997
3,8,0.1,0.2,0.2
3,8,1.0,0.2,0.2
3,8,10.0,0.2,0.2
3,9,0.01,0.0,0.0
3,9,0.1,0.0,0.0
3,9,1.0,0.0,0.0
3,9,10.0,0.1,0.13333333333333333
3,10,0.01,0.0,0.0
3,10,0.1,0.0,0.0
3,10,1.0,0.05,0.06666666666666667
3,10,10.0,0.15,0.15
3,11,0.01,0.0,0.0
3,11,0.1,0.0,0.0
3,11,1.0,0.0,0.0
3,11,10.0,0.0,0.0
3,12,0.01,0.0,0.0
3,12,0.1,0.0,0.0
3,12,1.0,0.0,0.0
3,12,10.0,0.0,0.0
4,0,0.01,0.4,0.3490909090909091
4,0,0.1,0.45,0.3911111111111111
4,0,1.0,0.4,0.31111111111111106
4,0,10.0,0.4,0.3054545454545455
4,1,0.01,0.5,0.4121212121212121
4,1,0.1,0.5,0.42666666666666664
4,1,1.0,0.5,0.44444444444444436
4,1,10.0,0.5,0.42666666666666664
4,2,0.01,0.5,0.4121212121212121
4,2,0.1,0.5,0.44444444444444436
4,2,1.0,0.5,0.44444444444444436
4,2,10.0,0.5,0.44444444444444436
4,3,0.01,0.5,0.4714285714285714
4,3,0.1,0.4,0.40606060606060607
4,3,1.0,0.35,0.37333333333333335
4,3,10.0,0.3,0.31111111111111106
4,4,0.01,0.5,0.45714285714285713
4,4,0.1,0.5,0.45714285714285713
4,4,1.0,0.5,0.45714285714285713
4,4,10.0,0.5,0.45714285714285713
4,5,0.01,0.55,0.48
4,5,0.1,0.55,0.48
4,5,1.0,0.55,0.48
4,5,10.0,0.55,0.48
4,6,0.01,0.6,0.4685314685314685
4,6,0.1,0.5,0.42666666666666664
4,6,1.0,0.5,0.43272727272727274
4,6,10.0,0.5,0.41818181818181815
4,7,0.01,0.6,0.4742857142857143
4,7,0.1,0.6,0.5
4,7,1.0,0.55,0.48
4,7,10.0,0.55,0.46349206349206346
4,8,0.01,0.4,0.3230769230769231
4,8,0.1,0.4,0.3230769230769231
4,8,1.0,0.35,0.2923076923076923
4,8,10.0,0.55,0.4545454545454545
4,9,0.01,0.3,0.27142857142857146
4,9,0.1,0.25,0.2333333333333333
4,9,1.0,0.25,0.2333333333333333
4,9,10.0,0.25,0.2333333333333333
4,10,0.01,0.3,0.27272727272727276
4,10,0.1,0.3,0.27999999999999997
4,10,1.0,0.2,0.21587301587301586
4,10,10.0,0.25,0.25142857142857145
4,11,0.01,0.45,0.4355555555555556
4,11,0.1,0.3,0.30158730158730157
4,11,1.0,0.3,0.30158730158730157
4,11,10.0,0.5,0.4470418470418471
4,12,0.01,0.25,0.2571428571428571
4,12,0.1,0.25,0.2571428571428571
4,12,1.0,0.25,0.2571428571428571
4,12,10.0,0.4,0.35238095238095235
